fecha,lat,lon,fuente,mapa,nivel_punto,nivel_anillo
2026-07-13,3.43858,-76.5527,Reporte en campo (inicio 14:30 COT),alerta_2026-07-13_1419.png,BAJA,MEDIA
2026-07-16,3.39641,-76.49336,NASA FIRMS NOAA-21 13:41 COT + confirmación en campo,alerta_2026-07-16_1324.png,ALTA,ALTA
