fecha,incendio,lat,lon,elevacion,pendiente,ctc,cdc,ccc,SUSC,dist_vias,dist_vias_prin,tmax,tmean,precip,precip_3d,precip_7d,precip_30d,dias_sin_lluvia,viento_max,radiacion,et0,humedad_min,humedad_media
2010-01-09 00:00:00,1,3.3328,-76.4714,953.0594482421875,6.3211565017700195,4.0,2.0,2.0,8.0,177.28745476273323,2815.0431184387453,25.309417586425898,20.773417586425914,3.132000000000025,3.8600000000000274,4.122400000000032,138.24160000000063,11.031999999999977,9.245599999999992,19.71911999999999,3.7228799999999946,66.64000000000001,85.32800000000006
2010-02-21 00:00:00,1,3.3323,-76.4896,954.313232421875,2.6436767578125,4.0,2.0,2.0,8.0,1460.7069620543025,1460.7069620543025,25.5335654892579,21.73046548925793,25.836700000000008,31.584000000000014,59.67560000000012,225.4000000000004,0.0,8.2646,9.279169999999997,1.9857099999999959,69.64600000000029,86.00000000000023
2011-01-31 00:00:00,1,3.2897,-76.5646,973.3607177734375,0.45799803733825684,4.0,2.0,2.0,8.0,1058.6432794511977,1426.4272521742391,25.818974334472756,21.618974334472753,5.7,19.4,49.3,122.8,4.0,8.0,22.25,4.061859999999996,64.35399999999996,83.29200000000009
2011-06-12 00:00:00,1,3.292,-76.5476,973.4803466796875,0.14694203436374664,5.0,1.0,2.0,8.0,140.1697290082231,274.5881764293861,28.00169174658218,23.044491746582203,0.0,0.0,2.4000000000000004,166.9,9.0,8.7,16.63,3.3133599999999883,59.856000000000506,80.90400000000034
2011-06-12 00:00:00,1,3.3065,-76.5136,968.9563598632812,3.6607813835144043,4.0,2.0,2.0,8.0,296.46533005644244,878.6539370843294,27.426078240888714,22.40411024088872,0.0,0.026000000000000655,2.3869999999999996,171.87250000000031,8.999999999999998,8.654499999999997,16.52079999999999,3.343290399999996,57.963680000000146,79.4878400000001
2011-09-14 00:00:00,1,3.289,-76.5468,972.0525512695312,0.8432128429412842,5.0,1.0,2.0,8.0,62.21270449231798,89.01410095533713,28.603560416748206,22.184360416748266,0.0,0.0,15.299999999999997,52.2,6.0,10.8,22.68,4.460439999999982,46.40400000000031,76.40400000000031
2012-09-01 00:00:00,1,3.430904,-76.606216,1728.219970703125,8.56514835357666,1.0,3.0,4.0,8.0,98.3478523101478,721.9174548545781,22.56926247046489,18.234239463104892,1.0069920000000934,2.2264160000001603,5.774432000000434,140.57760000000206,17.81895999999989,7.624864000000002,19.215439199999985,3.694410271295995,65.73344000000006,82.59609985280002
2012-09-07 00:00:00,1,3.45836,-76.540497,1166.2960205078125,31.476181030273438,5.0,1.0,2.0,8.0,252.11836419779178,326.0260219370435,26.406163628407317,21.39969977600735,0.7,0.8999999999999706,8.2,103.79999999999998,25.0,7.2,19.71,3.95049575571999,56.717939508000256,79.13433950800025
2012-09-11 00:00:00,1,3.446469,-76.576546,1186.2935791015625,24.336410522460938,5.0,1.0,2.0,8.0,452.6617988142428,701.8823938781425,25.916885988312437,21.451578149052423,0.9999999999999999,5.899999999999969,6.999999999999999,71.89999999999998,29.0,9.6,19.28,3.769914639260001,63.314669999999964,82.67388678519997
2012-09-11 00:00:00,1,3.446883,-76.574768,1191.169677734375,20.773040771484375,5.0,1.0,2.0,8.0,412.78016808916703,591.7086376509466,25.858365598392318,21.38625707983237,1.0,5.89999999999997,6.999999999999999,71.89999999999998,29.0,9.6,19.279999999999998,3.771332518559987,63.272530000000486,82.63380037120037
